                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.66679,                0.65543,                 1.2437,                0.97498,                0.83053,                0.92976,                0.76761,                 0.7522,                0.54349,                 1.3726,             0.00039625,             0.00039625,             0.00039625
                     79,                0.68422,                0.65343,                 1.2783,                0.96837,                0.80195,                0.95253,                0.76975,                0.70955,                0.55254,                 1.2646,             0.00037974,             0.00037974,             0.00037974
                     80,                0.66857,                0.65206,                 1.2541,                0.94468,                0.95942,                 0.9707,                0.80004,                0.71101,                0.51698,                 1.3281,             0.00036324,             0.00036324,             0.00036324
                     81,                0.66416,                0.66638,                 1.2487,                0.96658,                0.87132,                0.95464,                0.80213,                0.66902,                0.49438,                 1.2968,             0.00034674,             0.00034674,             0.00034674
                     82,                0.65949,                0.65218,                 1.2539,                0.92248,                0.91396,                0.96364,                0.81227,                0.68038,                 0.4716,                  1.336,             0.00033023,             0.00033023,             0.00033023
                     83,                0.65152,                0.63765,                 1.2432,                 0.9098,                0.93193,                0.96277,                0.80933,                0.67707,                0.48863,                 1.2564,             0.00031373,             0.00031373,             0.00031373
                     84,                0.63435,                0.61002,                  1.229,                0.99228,                0.86899,                 0.9638,                0.79778,                0.59073,                0.48377,                  1.201,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.6331,                0.63788,                 1.2305,                0.89248,                0.93055,                0.96295,                0.80053,                0.63436,                0.46946,                 1.2285,             0.00028072,             0.00028072,             0.00028072
                     86,                0.64557,                0.62541,                 1.2376,                0.97182,                0.89746,                0.96154,                0.81882,                 0.6246,                0.46526,                 1.2149,             0.00026422,             0.00026422,             0.00026422
                     87,                0.62058,                0.61641,                  1.214,                0.89866,                0.94156,                0.97332,                0.81798,                0.65119,                0.47771,                 1.2317,             0.00024772,             0.00024772,             0.00024772
                     88,                0.62696,                0.59522,                 1.2248,                0.97754,                0.93056,                 0.9659,                0.80025,                0.67699,                0.47316,                 1.2811,             0.00023121,             0.00023121,             0.00023121
                     89,                0.59768,                0.58662,                 1.1888,                0.99398,                0.89424,                 0.9685,                0.81987,                0.59514,                0.45549,                 1.1919,             0.00021471,             0.00021471,             0.00021471
                     90,                0.38763,                0.37963,                0.98775,                0.97157,                0.89876,                0.96046,                0.81181,                0.63823,                  0.476,                 1.2414,             0.00019821,             0.00019821,             0.00019821
                     91,                0.36678,                0.33398,                0.96106,                      1,                0.83633,                0.96176,                0.81986,                0.64536,                 0.4559,                 1.2746,              0.0001817,              0.0001817,              0.0001817
                     92,                0.34472,                0.31909,                0.95168,                0.94123,                 0.8961,                0.98215,                0.82005,                0.63414,                 0.4466,                 1.2475,              0.0001652,              0.0001652,              0.0001652
                     93,                0.34185,                0.32147,                0.94748,                0.92589,                0.93353,                0.96767,                0.82555,                0.61721,                0.43107,                 1.2486,              0.0001487,              0.0001487,              0.0001487
                     94,                0.33361,                0.30191,                0.93245,                0.95368,                0.91499,                0.96911,                0.80842,                0.61378,                 0.4666,                 1.2321,             0.00013219,             0.00013219,             0.00013219
                     95,                0.32386,                0.29399,                0.93391,                0.91332,                0.93163,                0.96473,                 0.8263,                0.61094,                0.45309,                 1.2448,             0.00011569,             0.00011569,             0.00011569
                     96,                0.31868,                0.28697,                0.92483,                0.89375,                  0.976,                0.98401,                0.81613,                0.59799,                0.44375,                 1.2343,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.31013,                0.27992,                0.92611,                0.88488,                0.94629,                0.96303,                 0.8186,                0.62767,                 0.4302,                 1.2832,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.30673,                0.28139,                0.92302,                0.95967,                0.90329,                  0.966,                0.81871,                0.61253,                0.42796,                 1.2518,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.29889,                0.27325,                0.91653,                0.88379,                0.95124,                0.96304,                0.83748,                0.62597,                0.42469,                 1.2862,             4.9677e-05,             4.9677e-05,             4.9677e-05
